Date,Open,High,Low,Close
2024-11-18,4950,4970,4910,4930
2024-11-19,4930,4970,4900,4970
2024-11-20,4970,5025,4950,5000
2024-11-21,4990,4990,4890,4890
2024-11-22,4900,4960,4860,4910
2024-11-25,4950,5175,4940,5175
2024-11-26,5150,5200,5100,5150
2024-11-28,5200,5225,5125,5125
2024-11-29,5125,5125,5025,5100
2024-12-02,5100,5150,4900,4940
2024-12-03,4980,5125,4970,5125
2024-12-04,5100,5225,5075,5225
2024-12-05,5225,5225,5125,5200
2024-12-06,5150,5175,5050,5150
2024-12-09,5150,5225,5100,5225
2024-12-10,5200,5225,5150,5225
2024-12-11,5175,5250,5175,5250
2024-12-12,5150,5225,5050,5100
2024-12-13,5100,5150,5050,5125
2024-12-16,5075,5150,5000,5125
2024-12-17,5100,5150,4950,4980
2024-12-18,4980,5050,4960,5000
2024-12-19,4950,4950,4860,4880
2024-12-20,4880,4900,4850,4870
2024-12-23,4900,4950,4870,4950
2024-12-24,4940,4980,4880,4880
2024-12-27,4890,4940,4880,4930
2024-12-30,4930,4940,4880,4900
2025-01-02,4910,4970,4900,4950
2025-01-03,4950,4970,4920,4950
2025-01-06,4950,5000,4860,4860
2025-01-07,4860,4920,4850,4920
2025-01-08,4880,4910,4810,4810
2025-01-09,4830,4950,4830,4930
2025-01-10,4940,4960,4860,4900
2025-01-13,4910,4920,4720,4750
2025-01-14,4770,4850,4750,4750
2025-01-15,4790,4940,4780,4940
2025-01-16,5025,5025,4880,4880
2025-01-17,4860,4970,4840,4940
2025-01-20,4940,4960,4900,4910
2025-01-21,4930,4970,4900,4910
2025-01-22,4920,4980,4880,4960
2025-01-23,4960,4980,4900,4900
2025-01-24,4900,4960,4870,4870
2025-01-30,4870,4870,4780,4780
2025-01-31,4790,4840,4790,4800
2025-02-03,4800,4800,4740,4760
2025-02-04,4770,4840,4760,4800
2025-02-05,4850,4850,4730,4740
2025-02-06,4740,4740,4520,4550
2025-02-07,4610,4670,4530,4650
2025-02-10,4610,4650,4520,4570
2025-02-11,4590,4650,4570,4610
2025-02-12,4680,4680,4620,4640
2025-02-13,4640,4670,4580,4660
2025-02-14,4660,4730,4640,4680
2025-02-17,4680,4780,4670,4740
2025-02-18,4740,4840,4740,4800
2025-02-19,4820,4840,4610,4700
2025-02-20,4700,4740,4650,4720
2025-02-21,4740,4800,4600,4750
2025-02-24,4750,4770,4660,4700
2025-02-25,4710,4750,4550,4560
2025-02-26,4560,4600,4520,4580
2025-02-27,4550,4590,4480,4590
2025-02-28,4650,4650,4370,4530
2025-03-03,4530,4720,4500,4680
2025-03-04,4680,4700,4590,4690
2025-03-05,4700,4900,4690,4900
2025-03-06,4900,4960,4860,4900
2025-03-07,4900,4970,4790,4930
2025-03-10,4900,4900,4750,4770
2025-03-11,4720,4800,4700,4800
2025-03-12,4760,4830,4740,4810
2025-03-13,4790,4810,4680,4730
2025-03-14,4730,4730,4610,4620
2025-03-17,4660,4670,4610,4620
2025-03-18,4630,4650,4460,4650
2025-03-19,4650,4700,4610,4690
2025-03-20,4690,4750,4640,4710
2025-03-21,4720,4840,4630,4840
2025-03-24,4780,4780,4540,4690
2025-03-25,4700,4700,4610,4650
2025-03-26,4660,4840,4660,4800
2025-03-27,4800,4920,4790,4920
2025-04-08,4800,4800,4450,4480
2025-04-09,4480,4660,4470,4620
2025-04-10,4750,4840,4690,4710
2025-04-11,4660,4740,4620,4710
2025-04-14,4740,4930,4710,4930
2025-04-15,4930,4950,4800,4870
2025-04-16,4850,4860,4690,4780
2025-04-17,4770,4770,4710,4750
2025-04-21,4750,4810,4740,4790
2025-04-22,4750,4780,4720,4740
2025-04-23,4770,4840,4770,4820
2025-04-24,4830,4840,4770,4770
2025-04-25,4790,4910,4790,4860
2025-04-28,4880,4930,4870,4890
2025-04-29,4910,4910,4800,4800
2025-04-30,4800,4840,4780,4800
2025-05-02,4810,4860,4760,4790
2025-05-05,4800,4810,4770,4780
2025-05-06,4780,4800,4750,4750
2025-05-07,4780,4840,4770,4830
2025-05-08,4860,4930,4780,4780
2025-05-09,4790,4830,4780,4780
2025-05-14,4860,4880,4800,4810
2025-05-15,4820,4850,4810,4820
2025-05-16,4840,4880,4810,4880
2025-05-19,4890,4960,4880,4940
2025-05-20,4960,4960,4860,4860
