Date,Open,High,Low,Close
2021-11-24,7575,7575,7425,7475
2021-11-25,7450,7525,7425,7425
2021-11-26,7400,7450,7250,7275
2021-11-29,7275,7425,7175,7400
2021-11-30,7325,7425,7275,7275
2021-12-01,7275,7450,7275,7300
2021-12-02,7375,7500,7300,7500
2021-12-03,7525,7525,7350,7375
2021-12-06,7450,7475,7350,7350
2021-12-07,7450,7475,7350,7350
2021-12-08,7450,7475,7400,7425
2021-12-09,7400,7450,7350,7350
2021-12-10,7325,7375,7275,7375
2021-12-13,7375,7400,7300,7300
2021-12-14,7300,7375,7275,7300
2021-12-15,7300,7375,7275,7300
2021-12-16,7375,7400,7275,7275
2021-12-17,7325,7500,7300,7500
2021-12-20,7350,7400,7325,7375
2021-12-21,7325,7400,7325,7375
2021-12-22,7425,7425,7325,7325
2021-12-23,7325,7350,7300,7300
2021-12-24,7300,7350,7300,7300
2021-12-27,7300,7350,7300,7350
2021-12-28,7375,7400,7325,7350
2021-12-29,7350,7375,7300,7300
2021-12-30,7350,7350,7300,7300
2022-01-03,7325,7400,7300,7325
2022-01-04,7325,7450,7325,7400
2022-01-05,7450,7525,7375,7450
2022-01-06,7500,7525,7425,7475
2022-01-07,7550,7700,7500,7650
2022-01-10,7575,7650,7550,7600
2022-01-11,7650,7700,7625,7700
2022-01-12,7700,7700,7650,7700
2022-01-13,7700,7750,7650,7700
2022-01-14,7700,7850,7650,7850
2022-01-17,7900,7900,7700,7750
2022-01-18,7775,7775,7550,7675
2022-01-19,7650,7725,7575,7675
2022-01-20,7725,7775,7625,7775
2022-01-21,7775,7950,7700,7950
2022-01-24,7825,7850,7775,7800
2022-01-25,7675,7775,7625,7775
2022-01-26,7700,7750,7650,7700
2022-01-27,7625,7800,7625,7800
2022-01-28,7800,7825,7700,7775
2022-01-31,7775,7775,7625,7625
2022-02-02,7775,7800,7675,7800
2022-02-03,7800,7825,7700,7725
2022-02-04,7750,7800,7700,7725
2022-02-07,7775,7800,7700,7800
2022-02-08,7750,7850,7725,7725
2022-02-09,7850,7950,7800,7950
2022-02-10,7950,7950,7750,7750
2022-02-11,7675,7825,7650,7825
2022-02-14,7750,7775,7700,7700
2022-02-15,7750,7875,7725,7875
2022-02-16,7850,7975,7825,7975
2022-02-17,7850,7925,7800,7900
2022-02-18,7950,7950,7850,7925
2022-02-21,7925,7975,7900,7950
2022-02-22,7900,7950,7850,7900
