Date,Open,High,Low,Close
2025-01-06,2760,2770,2660,2690
2025-01-07,2670,2680,2570,2570
2025-01-08,2590,2700,2590,2650
2025-01-09,2690,2700,2620,2620
2025-01-10,2640,2690,2630,2680
2025-01-13,2670,2740,2650,2670
2025-01-14,2670,2690,2610,2620
2025-01-15,2640,2670,2620,2630
2025-01-16,2660,2660,2590,2590
2025-01-17,2630,2680,2610,2660
2025-01-20,2670,2690,2610,2610
2025-01-21,2630,2660,2600,2630
2025-01-22,2680,2750,2650,2730
2025-01-23,2730,2750,2710,2710
2025-01-24,2740,2750,2690,2690
2025-01-30,2690,2710,2610,2640
2025-01-31,2660,2710,2660,2660
2025-02-03,2620,2630,2560,2630
2025-02-04,2640,2660,2590,2640
2025-02-05,2600,2640,2590,2620
2025-02-06,2630,2630,2520,2560
2025-02-07,2550,2590,2510,2590
2025-02-10,2520,2550,2440,2440
2025-02-11,2430,2450,2300,2320
2025-02-12,2360,2480,2350,2480
2025-02-13,2370,2420,2310,2420
2025-02-14,2460,2530,2440,2530
2025-02-17,2570,2650,2530,2650
2025-02-18,2660,2710,2630,2680
2025-02-19,2680,2690,2600,2670
2025-02-20,2650,2680,2620,2670
2025-02-21,2670,2680,2630,2650
2025-02-24,2630,2640,2570,2600
2025-02-25,2560,2580,2460,2460
2025-02-26,2500,2520,2460,2520
2025-02-27,2520,2560,2430,2490
2025-02-28,2470,2470,2350,2350
2025-03-03,2400,2420,2370,2400
2025-03-04,2400,2440,2350,2380
2025-03-05,2420,2470,2410,2450
2025-03-06,2490,2510,2400,2400
2025-03-07,2430,2470,2350,2410
2025-03-10,2430,2430,2370,2390
2025-03-11,2380,2390,2350,2370
2025-03-12,2410,2490,2400,2450
2025-03-13,2470,2490,2420,2430
2025-03-14,2450,2480,2410,2420
2025-03-17,2420,2450,2410,2420
2025-03-18,2450,2470,2300,2420
2025-03-19,2420,2440,2380,2430
2025-03-20,2440,2440,2350,2390
2025-03-21,2370,2380,2300,2310
2025-03-24,2320,2360,2240,2330
2025-03-25,2340,2360,2300,2340
2025-03-26,2360,2460,2350,2440
2025-03-27,2430,2430,2390,2410
2025-04-08,2050,2300,2050,2290
2025-04-09,2440,2440,2300,2320
2025-04-10,2450,2470,2320,2350
2025-04-11,2320,2350,2300,2330
2025-04-14,2320,2430,2310,2430
2025-04-15,2460,2470,2420,2450
2025-04-16,2490,2510,2450,2480
2025-04-17,2500,2660,2490,2550
2025-04-21,2600,2610,2510,2570
2025-04-22,2570,2570,2520,2550
2025-04-23,2580,2640,2570,2630
2025-04-24,2630,2650,2600,2630
2025-04-25,2630,2650,2570,2600
2025-04-28,2600,2610,2560,2560
2025-04-29,2570,2600,2560,2590
2025-04-30,2600,2640,2600,2640
2025-05-02,2640,2720,2620,2680
2025-05-05,2710,2710,2670,2700
2025-05-06,2720,2730,2680,2680
2025-05-07,2680,2690,2620,2620
2025-05-08,2630,2640,2570,2570
2025-05-09,2570,2630,2570,2600
2025-05-14,2530,2620,2530,2590
2025-05-15,2580,2690,2580,2660
2025-05-16,2710,2750,2680,2740
2025-05-19,2760,2860,2740,2820
2025-05-20,2830,2840,2740,2740
2025-05-21,2710,2780,2690,2750
2025-05-22,2750,2850,2750,2800
2025-05-23,2710,2720,2690,2690
2025-05-26,2720,2820,2700,2800
2025-05-27,2840,2880,2790,2830
2025-05-28,2860,2870,2800,2820
2025-06-02,2780,2820,2750,2780
2025-06-03,2780,2830,2730,2800
2025-06-04,2810,2860,2810,2820
2025-06-05,2850,2850,2820,2840
2025-06-10,2920,2920,2880,2910
2025-06-11,2750,2810,2730,2800
2025-06-12,2830,2830,2750,2780
2025-06-13,2770,2770,2720,2740
2025-06-16,2740,2770,2730,2740
2025-06-17,2800,2800,2760,2760
2025-06-18,2770,2800,2760,2770
2025-06-19,2740,2780,2630,2690
2025-06-20,2700,2710,2640,2640
2025-06-23,2610,2610,2560,2580
2025-06-24,2600,2670,2580,2590
2025-06-25,2650,2650,2560,2620
2025-06-26,2620,2710,2590,2710
2025-06-30,2780,2790,2730,2780
2025-07-01,2800,2810,2760,2810
2025-07-02,2820,2820,2730,2780
2025-07-03,2780,2810,2690,2710
2025-07-04,2710,2720,2620,2630
2025-07-07,2630,2700,2610,2700
2025-07-08,2680,2700,2640,2650
2025-07-09,2650,2680,2640,2670
2025-07-10,2690,2710,2650,2690
2025-07-11,2710,2730,2690,2730
2025-07-14,2700,2710,2640,2690
2025-07-15,2690,2690,2640,2640
2025-07-16,2660,2680,2650,2650
2025-07-17,2700,2770,2660,2770
2025-07-18,2800,2800,2750,2770
2025-07-21,2800,2800,2750,2800
2025-07-22,2800,2850,2800,2850
2025-07-23,2870,2870,2840,2850
2025-07-24,2860,2870,2800,2840
2025-07-25,2810,2830,2780,2820
2025-07-28,2870,2870,2830,2860
2025-07-29,2870,2880,2840,2880
2025-07-30,2890,2890,2850,2880
2025-07-31,2890,2930,2860,2880
2025-08-01,2960,2990,2910,2980
2025-08-04,3000,3030,2990,3030
2025-08-05,3050,3050,2990,3030
2025-08-06,3000,3010,2960,2990
2025-08-07,2990,2990,2930,2950
2025-08-08,2950,2960,2930,2940
2025-08-11,2990,3010,2970,2990
2025-08-12,3050,3200,3010,3180
2025-08-13,3220,3420,3210,3360
2025-08-14,3370,3490,3370,3420
2025-08-15,3360,3410,3310,3310
2025-08-19,3260,3330,3240,3250
2025-08-20,3220,3290,3220,3220
2025-08-21,3210,3270,3210,3250
2025-08-22,3270,3290,3220,3240
2025-08-25,3280,3350,3250,3310
2025-08-26,3310,3320,3230,3260
2025-08-27,3200,3250,3100,3170
2025-08-28,3160,3220,3150,3180
2025-08-29,3180,3210,3100,3130
2025-09-01,3080,3110,2960,3110
2025-09-02,3120,3140,3050,3070
2025-09-03,3080,3170,3070,3110
2025-09-04,3090,3170,3090,3150
2025-09-08,3300,3300,3090,3090
2025-09-09,3100,3130,3000,3050
2025-09-10,3070,3180,3050,3150
2025-09-11,3180,3190,3070,3080
2025-09-12,3090,3110,3050,3100
2025-09-15,3150,3260,3130,3260
2025-09-16,3300,3300,3260,3300
2025-09-17,3300,3340,3210,3340
2025-09-18,3400,3400,3230,3250
2025-09-19,3210,3300,3160,3230
2025-09-22,3300,3300,3190,3220
2025-09-23,3240,3260,3130,3190
2025-09-24,3190,3190,3150,3160
2025-09-25,3160,3200,3110,3120
2025-09-26,3100,3160,3090,3110
2025-09-29,3110,3130,3050,3080
2025-09-30,3090,3140,3060,3060
2025-10-01,3060,3100,3060,3060
2025-10-02,3070,3200,3060,3130
2025-10-03,3110,3130,3050,3070
2025-10-06,3080,3090,2960,3010
2025-10-07,3030,3050,3000,3010
2025-10-08,3030,3040,2940,2990
2025-10-09,2950,3020,2950,3010
2025-10-10,3030,3080,3000,3040
2025-10-13,3020,3070,2980,3020
2025-10-14,3050,3070,2960,2960
2025-10-15,3000,3090,2950,3080
2025-10-16,2970,3020,2900,2950
2025-10-17,2950,2960,2850,2880
2025-10-20,2930,2970,2900,2940
2025-10-21,2970,3290,2970,3280
2025-10-22,3220,3220,3120,3150
2025-10-23,3180,3400,3170,3360
2025-10-24,3370,3440,3290,3290
2025-10-27,3320,3360,3280,3330
2025-10-28,3330,3480,3270,3400
2025-10-29,3390,3390,3270,3290
2025-10-30,3290,3310,3200,3250
2025-10-31,3200,3250,3150,3210
2025-11-03,3210,3380,3210,3350
2025-11-04,3360,3590,3360,3500
2025-11-05,3600,3630,3510,3540
2025-11-06,3540,3550,3470,3480
2025-11-07,3460,3490,3420,3470
2025-11-10,3490,3550,3440,3440
2025-11-11,3500,3530,3470,3520
2025-11-12,3540,3590,3510,3560
2025-11-13,3570,3570,3480,3500
2025-11-14,3530,3560,3510,3550
2025-11-17,3570,3630,3560,3610
2025-11-18,3610,3630,3540,3620
2025-11-19,3620,3690,3620,3650
2025-11-20,3650,3660,3620,3640
2025-11-21,3590,3610,3460,3500
2025-11-24,3560,3700,3540,3700
2025-11-25,3690,3690,3560,3650
2025-11-26,3600,3720,3600,3720
2025-11-27,3700,3700,3560,3570
2025-11-28,3600,3630,3500,3510
2025-12-01,3530,3650,3520,3650
2025-12-02,3660,3670,3560,3560
2025-12-03,3590,3650,3580,3580
2025-12-04,3660,3660,3580,3630
2025-12-05,3630,3700,3610,3700
2025-12-08,3700,3700,3600,3630
2025-12-09,3650,3650,3520,3570
2025-12-10,3620,3700,3590,3640
2025-12-11,3670,3690,3500,3570
2025-12-12,3630,3630,3500,3550
2025-12-15,3550,3560,3460,3470
2025-12-16,3490,3550,3470,3520
2025-12-17,3540,3590,3490,3500
2025-12-18,3540,3580,3460,3460
2025-12-19,3520,3520,3390,3410
2025-12-22,3440,3490,3420,3470
2025-12-23,3470,3470,3420,3470
2025-12-24,3480,3500,3440,3460
2025-12-29,3480,3530,3460,3490
2025-12-30,3490,3510,3480,3480
2026-01-02,3510,3510,3450,3470
2026-01-05,3490,3590,3480,3580
2026-01-06,3600,3600,3490,3520
2026-01-07,3540,3550,3500,3540
2026-01-08,3540,3580,3520,3530
2026-01-09,3550,3560,3450,3450
2026-01-12,3470,3530,3460,3520
2026-01-13,3600,3660,3550,3620
2026-01-14,3690,3700,3610,3650
2026-01-15,3650,3680,3610,3660
2026-01-19,3590,3630,3490,3620
2026-01-20,3550,3680,3550,3600
2026-01-21,3670,3700,3570,3600
2026-01-22,3670,3790,3660,3740
2026-01-23,3790,3800,3730,3770
2026-01-26,3780,3850,3750,3850
2026-01-27,3850,3990,3730,3940
2026-01-28,3800,3800,3390,3470
2026-01-29,3420,3500,3100,3450
2026-01-30,3550,3740,3540,3600
2026-02-02,3670,3700,3430,3500
2026-02-03,3540,3550,3420,3450
2026-02-04,3420,3440,3260,3330
2026-02-05,3350,3360,3260,3290
2026-02-06,3310,3390,3270,3380
2026-02-09,3430,3430,3340,3350
2026-02-10,3380,3430,3360,3400
2026-02-11,3430,3530,3420,3530
2026-02-12,3500,3560,3470,3560
2026-02-13,3540,3550,3440,3450
2026-02-18,3470,3510,3460,3490
2026-02-19,3500,3500,3460,3480
2026-02-20,3490,3510,3430,3480
2026-02-23,3480,3550,3480,3550
2026-02-24,3600,3600,3510,3580
2026-02-25,3580,3660,3580,3600
2026-02-26,3560,3650,3510,3650
2026-02-27,3630,3630,3530,3540
2026-03-02,3440,3490,3410,3450
2026-03-03,3520,3530,3440,3450
2026-03-04,3430,3450,3110,3200
2026-03-05,3300,3350,3210,3260
2026-03-06,3270,3290,3180,3190
2026-03-09,3160,3160,3000,3100
2026-03-10,3120,3150,2930,2960
2026-03-11,3000,3020,2930,3000
2026-03-12,3020,3060,2980,3020
2026-03-13,3030,3050,2920,2970
2026-03-16,2970,2980,2830,2960
2026-03-17,3050,3050,2960,3050
2026-03-25,3140,3300,3130,3300
2026-03-26,3240,3260,3130,3170
2026-03-27,3150,3160,3050,3050
2026-03-30,3050,3110,3030,3040
2026-03-31,3130,3130,3040,3060
2026-04-01,3150,3150,3100,3150
2026-04-02,3150,3160,3080,3130
2026-04-06,3200,3200,3100,3160
2026-04-07,3150,3160,3060,3100
2026-04-08,3150,3180,3110,3160
2026-04-09,3170,3190,3120,3190
2026-04-10,3190,3220,3170,3210
2026-04-13,3130,3200,3130,3190
2026-04-14,3190,3200,3110,3120
2026-04-15,3120,3150,3060,3090
2026-04-16,3100,3150,3100,3120
2026-04-17,3120,3150,3080,3100
2026-04-20,3130,3160,3050,3100
2026-04-21,3050,3070,2980,3010
2026-04-22,3010,3030,2990,3000
2026-04-23,3010,3020,2880,2880
2026-04-24,2880,2940,2750,2810
2026-04-27,2850,2850,2810,2830
2026-04-28,2790,2820,2750,2820
2026-04-29,2820,2880,2800,2870
2026-04-30,2860,2870,2810,2810
2026-05-04,2840,2890,2840,2890
2026-05-05,2910,2940,2870,2880
2026-05-06,2890,2910,2870,2900
2026-05-07,2950,2980,2920,2930
2026-05-08,2930,3000,2900,2960
2026-05-11,2990,3010,2920,2960
2026-05-12,3000,3000,2860,2950
2026-05-13,2950,2970,2920,2960
2026-05-14,2960,2960,2960,2960
2026-05-15,2960,2960,2960,2960
2026-05-18,2910,3080,2860,3080
2026-05-19,3080,3130,3030,3080
2026-05-20,3130,3190,3100,3100
2026-05-21,3100,3120,2950,3000
2026-05-22,3000,3010,2850,2920
2026-05-25,2880,2960,2870,2930
2026-05-26,2950,3100,2940,3090
2026-05-27,3090,3090,3090,3090
2026-05-28,3090,3090,3090,3090
2026-05-29,2900,3170,2900,3030
2026-06-02,2990,3020,2910,2950
2026-06-03,2900,2950,2850,2850
2026-06-04,2900,2950,2680,2900
2026-06-05,2900,2930,2760,2760
2026-06-08,2620,2650,2350,2350
2026-06-09,2510,2620,2510,2620
2026-06-10,2500,2810,2500,2810
2026-06-11,2870,2970,2810,2870
2026-06-12,2910,2980,2860,2860
2026-06-15,2900,2970,2890,2930
2026-06-17,2950,3030,2940,2960
2026-06-18,2800,2800,2670,2780
2026-06-19,2700,2710,2580,2580
2026-06-22,2580,2590,2500,2510
2026-06-23,2500,2610,2500,2540
2026-06-24,2570,2590,2480,2500
2026-06-25,2530,2540,2500,2500
2026-06-26,2420,2480,2370,2480
2026-06-29,2470,2470,2410,2410
2026-06-30,2390,2400,2350,2350
2026-07-01,2380,2450,2350,2440
2026-07-02,2470,2490,2420,2450
2026-07-03,2480,2540,2470,2520
2026-07-06,2520,2530,2470,2480
2026-07-07,2460,2480,2420,2480
2026-07-08,2480,2540,2470,2510
2026-07-09,2500,2510,2450,2510
2026-07-10,2480,2500,2440,2480
2026-07-13,2480,2520,2460,2510
2026-07-14,2500,2600,2490,2560
2026-07-15,2560,2570,2490,2520
2026-07-16,2520,2560,2510,2530
2026-07-17,2550,2670,2540,2660
2026-07-20,2670,2750,2660,2710
2026-07-21,2770,2770,2700,2750
2026-07-22,2730,2730,2670,2700
2026-07-23,2710,2710,2650,2650
2026-07-24,2600,2630,2580,2630
2026-07-27,2670,2670,2560,2590
2026-07-28,2580,2620,2560,2560
2026-07-29,2560,2610,2540,2560
2026-07-30,2600,2670,2590,2670
2026-07-31,2670,2680,2600,2630
2026-08-03,2600,2740,2600,2740
2026-08-04,2740,2790,2710,2790
2026-08-05,2780,2780,2700,2710
2026-08-06,2710,2720,2650,2650
2026-08-07,2650,2720,2650,2710
2026-08-10,2720,2730,2620,2620
2026-08-11,2640,2650,2570,2610
2026-08-12,2610,2620,2570,2590
2026-08-13,2600,2610,2570,2590
2026-08-14,2600,2630,2590,2620
2026-08-18,2640,2640,2600,2600
2026-08-19,2600,2610,2580,2600
2026-08-20,2610,2620,2590,2610
2026-08-21,2610,2640,2610,2610
2026-08-24,2620,2640,2600,2620
2026-08-26,2630,2630,2590,2600
2026-08-27,2590,2610,2550,2610
2026-08-28,2620,2620,2570,2570
