Date,Open,High,Low,Close
2025-01-17,5800,6050,5750,5875
2025-01-20,6000,6050,5925,6000
2025-01-21,6100,6175,6025,6050
2025-01-22,6150,6200,6100,6150
2025-01-23,6200,6300,6175,6175
2025-01-24,6250,6250,6125,6125
2025-01-30,6100,6225,6075,6100
2025-01-31,6175,6225,6025,6025
2025-02-03,5975,6000,5700,5800
2025-02-04,5825,5850,5625,5675
2025-02-05,5600,5600,5475,5525
2025-02-06,5425,5425,5000,5100
2025-02-07,5000,5150,4950,5150
2025-02-10,5150,5150,4990,5000
2025-02-11,4750,4950,4750,4880
2025-02-12,4920,4950,4830,4940
2025-02-13,4940,5075,4900,5025
2025-02-14,5100,5200,4970,5125
2025-02-17,5200,5475,5175,5425
2025-02-18,5450,5550,5375,5450
2025-02-19,5375,5400,5125,5175
2025-02-20,5125,5225,5100,5150
2025-02-21,5000,5100,5000,5075
2025-02-24,5050,5075,4980,5025
2025-02-25,5000,5025,4860,4870
2025-02-26,4860,4980,4850,4920
2025-02-27,4930,4950,4660,4660
2025-02-28,4620,4690,4550,4600
2025-03-03,4750,4980,4700,4900
2025-03-04,4900,4920,4750,4840
2025-03-05,4860,5050,4860,4860
2025-03-06,4910,4980,4870,4870
2025-03-07,4870,4870,4810,4840
2025-03-10,4730,4760,4660,4710
2025-03-11,4650,4780,4640,4740
2025-03-12,4750,4880,4750,4880
2025-03-13,4940,4940,4710,4740
2025-03-14,4640,4800,4640,4740
2025-03-17,4740,4770,4660,4680
2025-03-18,4680,4690,4300,4530
2025-03-19,4530,4700,4440,4680
2025-03-20,4760,4770,4610,4620
2025-03-21,4600,4610,4380,4410
2025-03-24,4350,4530,4250,4460
2025-03-25,4500,4810,4500,4740
2025-03-26,4980,5175,4930,5150
2025-03-27,5150,5250,5050,5200
2025-04-08,4500,4830,4500,4670
2025-04-09,4630,4790,4630,4710
2025-04-10,5200,5225,4970,5025
2025-04-11,5000,5175,4950,5100
2025-04-14,4650,4750,4650,4750
2025-04-15,4800,4820,4710,4710
2025-04-16,4740,4750,4590,4630
2025-04-17,4630,4660,4570,4600
2025-04-21,4600,4640,4560,4610
2025-04-22,4610,4720,4590,4720
2025-04-23,4780,4900,4740,4900
2025-04-24,4950,5025,4860,4890
2025-04-25,4960,4960,4900,4900
2025-04-28,4950,4980,4890,4920
2025-04-29,4930,4950,4880,4940
2025-04-30,4900,4920,4810,4890
2025-05-02,4980,4980,4910,4960
2025-05-05,4990,5100,4960,4980
2025-05-06,5025,5050,4980,4980
2025-05-07,5050,5050,4950,4950
2025-05-08,4960,5025,4790,4790
2025-05-09,4790,4830,4750,4770
2025-05-14,4890,5050,4880,5050
2025-05-15,5075,5400,5050,5325
2025-05-16,5425,5475,5200,5475
2025-05-19,5450,5575,5400,5525
2025-05-20,5500,5550,5350,5400
2025-05-21,5400,5550,5375,5450
2025-05-22,5450,5500,5400,5450
2025-05-23,5450,5475,5375,5425
2025-05-26,5425,5475,5300,5475
2025-05-27,5500,5500,5400,5400
2025-05-28,5400,5425,5300,5300
2025-06-02,5200,5250,5025,5075
2025-06-03,5100,5125,4950,5050
2025-06-04,5125,5125,4980,5025
2025-06-05,5050,5075,5000,5075
2025-06-10,5075,5250,5075,5250
2025-06-11,5300,5300,5150,5200
2025-06-12,5225,5225,5125,5175
2025-06-13,5175,5250,5100,5150
2025-06-16,5150,5200,5100,5150
2025-06-17,5175,5225,5100,5100
2025-06-18,5075,5100,5025,5075
2025-06-19,5050,5050,4910,4970
2025-06-20,4940,4990,4830,4930
2025-06-23,4870,4930,4800,4920
2025-06-24,5050,5125,5025,5025
2025-06-25,5025,5050,4880,4880
2025-06-26,4950,5025,4910,5025
2025-06-30,5050,5050,4880,4880
2025-07-01,4900,4910,4710,4750
2025-07-02,4730,4770,4710,4770
2025-07-03,4780,4850,4720,4740
2025-07-04,4750,4790,4700,4740
2025-07-07,4740,4750,4680,4740
2025-07-08,4710,4750,4700,4720
2025-07-09,4720,4760,4670,4710
2025-07-10,4750,4830,4730,4820
2025-07-11,4850,4990,4830,4970
2025-07-14,4980,4990,4670,4690
2025-07-15,4700,4740,4690,4700
2025-07-16,4730,4760,4680,4690
2025-07-17,4700,4720,4680,4720
2025-07-18,4760,4810,4720,4740
2025-07-21,4770,4770,4680,4680
2025-07-22,4680,4710,4650,4660
2025-07-23,4660,4690,4660,4680
2025-07-24,4690,4840,4680,4800
2025-07-25,4800,4800,4690,4690
2025-07-28,4730,4750,4690,4700
2025-07-29,4700,4720,4690,4710
2025-07-30,4710,4720,4620,4620
2025-07-31,4610,4640,4510,4510
2025-08-01,4570,4610,4510,4530
2025-08-04,4530,4630,4510,4620
2025-08-05,4690,4780,4660,4750
2025-08-06,4750,4750,4690,4700
2025-08-07,4740,4740,4680,4680
2025-08-08,4680,4700,4660,4670
2025-08-11,4710,4780,4700,4720
2025-08-12,4770,4920,4750,4910
2025-08-13,4930,4970,4860,4870
2025-08-14,4910,4930,4840,4850
2025-08-15,4890,4930,4850,4850
2025-08-19,4860,4870,4780,4800
