Date,Open,High,Low,Close
2020-08-24,3209,3318,3200,3309
2020-08-25,3336,3454,3309,3454
2020-08-26,3454,3473,3364,3400
2020-08-27,3400,3436,3327,3364
2020-08-28,3373,3400,3318,3354
2020-08-31,3364,3400,3182,3191
2020-09-01,3227,3300,3164,3282
2020-09-02,3291,3327,3264,3327
2020-09-03,3327,3354,3227,3254
2020-09-04,3282,3282,3164,3227
2020-09-07,3227,3245,3182,3191
2020-09-08,3191,3245,3191,3200
2020-09-09,3164,3173,3073,3100
2020-09-10,3000,3000,2891,2891
2020-09-11,2745,3009,2736,2954
2020-09-14,3000,3136,3000,3127
2020-09-15,3127,3145,3009,3027
2020-09-16,3064,3082,2945,2964
2020-09-17,2973,3009,2882,2909
2020-09-18,2909,2973,2900,2927
2020-09-21,2909,2954,2864,2900
2020-09-22,2827,2900,2818,2845
2020-09-23,2882,2891,2773,2800
2020-09-24,2754,2800,2736,2754
2020-09-25,2782,2891,2764,2873
2020-09-28,2891,2936,2800,2809
2020-09-29,2836,2873,2745,2764
2020-09-30,2782,2800,2727,2764
2020-10-01,2809,2882,2782,2873
2020-10-02,2891,2918,2782,2818
2020-10-05,2873,2882,2827,2873
2020-10-06,2927,2945,2891,2900
2020-10-07,2873,2882,2800,2836
2020-10-08,2864,2882,2827,2864
2020-10-09,2864,2882,2836,2864
2020-10-12,2873,2918,2864,2900
2020-10-13,2900,3000,2864,2982
2020-10-14,3000,3073,2991,3054
2020-10-15,3054,3073,3009,3009
2020-10-16,3036,3054,2918,2954
2020-10-19,2964,2991,2936,2982
2020-10-20,2982,2991,2918,2954
2020-10-21,2982,3009,2936,2945
2020-10-22,2927,3000,2909,3000
2020-10-23,3045,3045,2973,2991
2020-10-26,3000,3054,2991,3036
2020-10-27,3036,3091,3027,3054
2020-11-02,3054,3082,3000,3073
2020-11-03,3082,3091,3054,3073
2020-11-04,3109,3109,2991,2991
2020-11-05,3064,3173,3054,3173
2020-11-06,3191,3273,3154,3236
2020-11-09,3345,3354,3254,3354
2020-11-10,3454,3645,3427,3636
2020-11-11,3609,3809,3591,3745
2020-11-12,3727,3727,3564,3591
2020-11-13,3609,3709,3600,3636
2020-11-16,3682,3700,3573,3600
2020-11-17,3636,3654,3573,3600
2020-11-18,3618,3682,3609,3673
2020-11-19,3645,3754,3618,3673
2020-11-20,3673,3709,3627,3654
2020-11-23,3645,3727,3645,3709
2020-11-24,3745,3845,3709,3818
2020-11-25,3927,3991,3864,3927
2020-11-26,3836,3927,3836,3900
2020-11-27,3936,3973,3882,3882
2020-11-30,3864,3891,3627,3718
2020-12-01,3754,3873,3700,3854
2020-12-02,3927,3945,3864,3909
2020-12-03,3954,4000,3909,4000
2020-12-04,4000,4000,3882,3909
2020-12-07,3954,4018,3954,4000
2020-12-08,4000,4000,3945,4000
2020-12-10,4045,4045,3936,3936
2020-12-11,4000,4000,3873,3891
2020-12-14,3909,3918,3882,3891
2020-12-15,3891,3900,3854,3891
2020-12-16,3945,3954,3909,3927
2020-12-17,3964,3964,3918,3936
2020-12-18,3882,3909,3882,3891
2020-12-21,3936,3945,3827,3827
2020-12-22,3854,3891,3745,3754
2020-12-23,3773,3800,3591,3782
2020-12-28,3864,3873,3782,3864
2020-12-29,3864,3891,3791,3800
2020-12-30,3809,3827,3754,3791
2021-01-04,3773,3927,3773,3918
2021-01-05,3909,3909,3854,3882
2021-01-06,3891,3909,3782,3818
2021-01-07,3873,3900,3827,3891
2021-01-08,3936,3991,3909,3991
2021-01-11,4018,4236,4009,4227
2021-01-12,4254,4336,4245,4291
2021-01-13,4336,4400,4318,4354
2021-01-14,4382,4391,4291,4336
2021-01-15,4336,4336,4136,4164
2021-01-18,4164,4227,4127,4200
2021-01-19,4273,4273,4191,4200
2021-01-20,4245,4473,4227,4445
2021-01-21,4473,4500,4336,4354
2021-01-22,4418,4418,4254,4291
2021-01-25,4354,4354,4191,4345
2021-01-26,4345,4354,4200,4227
2021-01-27,4227,4291,4091,4200
2021-01-28,4164,4227,4018,4064
2021-01-29,4154,4191,3800,3800
2021-02-01,3800,4036,3600,4000
2021-02-02,4082,4082,3873,3964
2021-02-03,4073,4073,3964,3982
2021-02-04,4045,4164,3973,4082
2021-02-05,4127,4127,4018,4064
2021-02-08,4118,4118,4045,4054
2021-02-09,4091,4336,4091,4200
2021-02-10,4209,4282,4182,4227
2021-02-11,4273,4282,4209,4254
2021-02-15,4282,4345,4273,4282
2021-02-16,4309,4309,4236,4245
2021-02-17,4282,4300,4200,4209
2021-02-18,4273,4336,4227,4245
2021-02-19,4182,4354,4182,4354
2021-02-22,4409,4427,4327,4354
2021-02-23,4373,4391,4309,4354
2021-02-24,4354,4382,4282,4300
2021-02-25,4336,4336,4245,4300
2021-02-26,4300,4318,4273,4282
2021-03-01,4364,4391,4291,4391
2021-03-02,4427,4436,4364,4364
2021-03-03,4364,4409,4309,4409
2021-03-04,4409,4409,4300,4327
2021-03-05,4309,4336,4273,4336
2021-03-08,4364,4382,4300,4300
2021-03-09,4318,4318,4145,4164
2021-03-10,4227,4236,4173,4209
2021-03-12,4264,4264,4127,4164
2021-03-15,4164,4209,4145,4154
2021-03-16,4236,4336,4191,4291
2021-03-17,4254,4273,4182,4245
2021-03-18,4282,4336,4264,4327
2021-03-19,4318,4318,4245,4245
2021-03-22,4273,4273,4200,4209
2021-03-23,4291,4291,4227,4245
2021-03-24,4300,4300,4227,4245
2021-03-25,4273,4273,4164,4200
2021-03-26,4209,4291,4200,4291
2021-03-29,4345,4345,4291,4291
2021-03-30,4273,4273,4073,4091
